0.138218,-0.001167,1.438308
0.133881,0.005469,1.393294
0.137461,0.002506,1.425646
0.129300,0.003863,1.420082
0.109540,0.027428,1.386732
0.094870,0.037402,1.397017
0.085660,0.036910,1.410247
0.086755,0.042580,1.343296
0.108441,0.042571,1.330818
0.105194,0.051439,1.305148
0.081411,0.068576,1.261663
0.073813,0.068094,1.235367
0.050586,0.049781,1.215217
0.051117,0.042726,1.199237
0.060062,0.031472,1.208795
0.070404,0.023100,1.205249
0.079372,0.017964,1.211938
0.082680,0.017682,1.215698
0.086029,0.012244,1.229908
0.065030,0.011010,1.238679
0.062251,0.004660,1.310628
0.054785,0.007942,1.351387
0.061265,0.012227,1.342363
0.074581,0.015371,1.278176
0.092880,0.015029,1.214774
0.108297,0.014595,1.203446
0.099948,0.016977,1.192217
0.087581,0.017243,1.182445
0.055303,0.011227,1.198931
0.037878,0.009078,1.222086
0.012078,0.000170,1.242028
-0.001510,-0.009226,1.283649
-0.015818,-0.016542,1.314260
-0.019327,-0.025375,1.345025
-0.019891,-0.038464,1.385664
-0.002542,-0.067328,1.517784
-0.011913,-0.077597,1.558589
-0.031636,-0.082361,1.496495
-0.034717,-0.102212,1.488666
-0.028045,-0.140191,1.623140
-0.035417,-0.173346,1.646991
-0.052595,-0.175945,1.544843
-0.049729,-0.206885,1.520759
-0.052522,-0.256880,1.551091
-0.053770,-0.293599,1.526390
-0.053480,-0.329315,1.488486
-0.045044,-0.377394,1.451513
-0.037421,-0.380361,1.336431
